,Year,NAME,House_Price,Unit_Price,Flat_rent,House_rent,House_rate,Unit_rate
289,2009,GEELONG WEST,347500.0,243000.0,140.0,244.0,27.38808322824716,33.37912087912088
290,2009,GEMBROOK,300000.0,,,,,
291,2009,GISBORNE,350000.0,285000.0,,,,
292,2009,GLADSTONE PARK,354000.0,,213.0,196.0,34.7331240188383,
293,2009,GLEN HUNTLY,835500.0,390000.0,,,,
294,2009,GLEN IRIS,1026500.0,465000.0,245.0,388.0,50.87727993655829,36.49921507064364
295,2009,GLEN WAVERLEY,660000.0,464000.0,245.0,347.0,36.57725559742851,36.42072213500785
296,2009,GLEN WAVERLEY,660000.0,470000.0,245.0,347.0,36.57725559742851,36.891679748822604
297,2009,GLEN WAVERLEY,760000.0,464000.0,245.0,347.0,42.11926402128131,36.42072213500785
298,2009,GLEN WAVERLEY,760000.0,470000.0,245.0,347.0,42.11926402128131,36.891679748822604
299,2009,GLENGARRY,225000.0,,,,,
300,2009,GLENROWAN,236000.0,,,,,
301,2009,GLENROY,420000.0,365000.0,195.0,278.0,29.053680132816826,35.99605522682446
302,2009,GOLDEN BEACH,152500.0,,,,,
303,2009,GOLDEN POINT,210000.0,231000.0,,,,
304,2009,GOLDEN SQUARE,223000.0,207000.0,131.0,195.0,21.992110453648916,30.38755137991779
305,2009,GORDON,262500.0,,,,,
306,2009,GOUGHS BAY,183000.0,,,,,
307,2009,GOWANBRAE,450000.0,,,,,
308,2009,GRANTVILLE,218000.0,,,,,
309,2009,GREEN LAKE,230000.0,,,,,
310,2009,GREENSBOROUGH,440000.0,401000.0,202.0,293.0,28.878970858493044,38.17593297791318
311,2009,GREENVALE,476000.0,375000.0,,,,
312,2009,GROVEDALE,292000.0,248000.0,146.0,250.0,22.46153846153846,32.66596417281349
313,2009,HADFIELD,417500.0,352500.0,,,,
314,2009,HALLAM,328500.0,283500.0,,,,
315,2009,HALLS GAP,230000.0,,,,,
316,2009,HAMILTON,185000.0,203500.0,117.0,180.0,19.764957264957268,33.44838921761998
317,2009,HAMLYN HEIGHTS,295000.0,255000.0,,,,
318,2009,HAMPTON,1101000.0,555000.0,287.0,404.0,52.40860624523991,37.18842133476279
319,2009,HAMPTON EAST,655000.0,466500.0,,,,
320,2009,HAMPTON PARK,295000.0,275000.0,153.0,250.0,22.692307692307693,34.56510809451986
321,2009,HARKNESS,283000.0,239000.0,,,,
322,2009,HASTINGS,300000.0,240000.0,152.0,222.0,25.987525987525984,30.36437246963563
323,2009,HASTINGS WEST,229500.0,,,,,
324,2009,HAWTHORN,1237500.0,370000.0,255.0,442.0,53.84180299338671,27.90346907993967
325,2009,HAWTHORN EAST,1142500.0,461000.0,223.0,434.0,50.62477844735909,39.75508796136599
326,2009,HEALESVILLE,312500.0,290000.0,,,,
327,2009,HEATHCOTE,190000.0,,,,,
328,2009,HEATHERTON,569000.0,,,,,
329,2009,HEATHMONT,435000.0,385000.0,,,,
330,2009,HEIDELBERG,730500.0,435000.0,247.0,293.0,47.94565502756629,33.86795390843974
331,2009,HEIDELBERG HEIGHTS,452000.0,438000.0,,,,
332,2009,HEIDELBERG WEST,374000.0,368500.0,247.0,293.0,24.547125229719086,28.690439115540332
333,2009,HEPBURN,315000.0,,,,,
334,2009,HEPBURN SPRINGS,343500.0,,,,,
335,2009,HERNE HILL,280000.0,170500.0,140.0,244.0,22.06809583858764,23.42032967032967
336,2009,HEYFIELD,155000.0,,,,,
337,2009,HEYWOOD,149000.0,,,,,
338,2009,HIGHETT,650000.0,448500.0,,,,
339,2009,HIGHTON,385000.0,262000.0,,,,
340,2009,HILLSIDE,355000.0,289000.0,,,,
341,2009,HOPETOUN,73500.0,,,,,
342,2009,HOPPERS CROSSING,283000.0,239500.0,192.0,231.0,23.559773559773557,23.98838141025641
343,2009,HORSHAM,176500.0,161500.0,110.0,162.0,20.95204178537512,28.234265734265737
344,2009,HUGHESDALE,695000.0,425000.0,230.0,355.0,37.6489707475623,35.53511705685619
345,2009,HUNTINGDALE,560000.0,337500.0,,,,
346,2009,HUNTLY,261000.0,,,,,
347,2009,HURSTBRIDGE,402000.0,,202.0,293.0,26.384877920714096,
348,2009,INDENTED HEAD,321500.0,,,,,
349,2009,INGLEWOOD,130000.0,,,,,
350,2009,INVERLEIGH,240000.0,,,,,
351,2009,INVERLOCH,379000.0,325000.0,,,,
352,2009,INVERMAY PARK,305000.0,,,,,
353,2009,IRONBARK,226500.0,,,,,
354,2009,IRYMPLE,215000.0,195500.0,,,,
355,2009,IVANHOE,802000.0,521000.0,242.0,362.0,42.605184870378245,41.40178003814368
356,2009,IVANHOE EAST,958000.0,435000.0,242.0,362.0,50.8924776880578,34.56770502225048
357,2009,JACANA,320500.0,295000.0,,,,
358,2009,JACKASS FLAT,262000.0,,,,,
359,2009,JAMIESON,193500.0,,,,,
360,2009,JAN JUC,467000.0,,,,,
361,2009,JEERALANG,161500.0,,,,,
362,2009,JEPARIT,66500.0,,,,,
363,2009,JUNCTION VILLAGE,276500.0,255500.0,,,,
364,2009,JUNORTOUN,431500.0,,,,,
365,2009,KALIMNA,266500.0,,,,,
366,2009,KALKALLO,0.0,,,,,
367,2009,KALLISTA,410000.0,,,,,
368,2009,KALORAMA,350000.0,,,,,
369,2009,KANGAROO FLAT,233000.0,195000.0,131.0,195.0,22.978303747534518,28.625954198473284
370,2009,KANGAROO GROUND,515000.0,,,,,
371,2009,KANIVA,96000.0,,,,,
372,2009,KEALBA,313500.0,,,,,
373,2009,KEILOR,510000.0,,0.0,0.0,inf,
374,2009,KEILOR DOWNS,370000.0,298000.0,,,,
375,2009,KEILOR EAST,454000.0,399500.0,200.0,308.0,28.346653346653344,38.41346153846154
376,2009,KEILOR LODGE,415000.0,,,,,
377,2009,KEILOR PARK,407500.0,,,,,
378,2009,KENNINGTON,265000.0,195500.0,,,,
379,2009,KENSINGTON,570000.0,388000.0,271.0,368.0,29.78678929765886,27.53335225659949
380,2009,KERANG,147500.0,,,,,
381,2009,KEW,1390000.0,546000.0,312.0,413.0,64.72341218103931,33.65384615384615
382,2009,KEW EAST,932000.0,,,,,
383,2009,KEW NORTH,940000.0,540000.0,,,,
384,2009,KEYSBOROUGH,375000.0,330000.0,,,,
385,2009,KIALLA,320000.0,,,,,
386,2009,KILCUNDA,292500.0,,,,,
387,2009,KILLARA,212500.0,,,,,
388,2009,KILMORE,273500.0,238000.0,,,,
389,2009,KILSYTH,370000.0,325000.0,,,,
390,2009,KILSYTH SOUTH,438500.0,,,,,
391,2009,KINGLAKE,265000.0,,,,,
392,2009,KINGS PARK,285000.0,,,,,
393,2009,KINGSBURY,421000.0,340000.0,,,,
394,2009,KINGSVILLE,546500.0,310000.0,,,,
395,2009,KNOXFIELD,420000.0,385000.0,,,,
396,2009,KOO WEE RUP,280000.0,253500.0,,,,
397,2009,KOONDROOK,139000.0,,,,,
398,2009,KOROIT,210000.0,,,,,
399,2009,KORUMBURRA,214000.0,218000.0,,,,
400,2009,KURUNJANG,241500.0,220000.0,,,,
401,2009,KYABRAM,195000.0,180000.0,,,,
402,2009,KYNETON,269500.0,210000.0,,,,
403,2009,LAKE BOGA,149000.0,,,,,
404,2009,LAKE GARDENS,350000.0,,,,,
405,2009,LAKE TYERS BEACH,235000.0,,,,,
